identificador,Area(mm²)
d2_t2_40uL_r3,659.52
d2_t4_80uL_r1,183.42
d2_t4_100uL_r5,224.28
d5_t3_60uL_r5,54.99
d5_t4_100uL_r1,1381.88
d4_t2_20uL_r3,3998.09
d5_t4_80uL_r2,1245.19
d1_t4_20uL_r4,55.65
d2_t3_100uL_r5,52.85
d5_t3_100uL_r1,43.39
d3_t4_80uL_r5,662.04
d2_t2_20uL_r4,695.45
d2_t5_100uL_r2,527.37
d4_t3_60uL_r1,61.09
d3_t3_60uL_r2,53.93
d1_t2_80uL_r1,75.43
d1_t4_40uL_r3,58.61
d2_t2_100uL_r2,452.7
d4_t2_40uL_r4,2641.39
d4_t2_40uL_r5,3155.39
d2_t2_100uL_r3,608.33
d1_t4_40uL_r2,61.16
d3_t3_60uL_r3,62.8
d2_t5_100uL_r3,743.66
d2_t2_20uL_r5,756.4
d3_t4_80uL_r4,731.66
d5_t4_80uL_r3,1766.23
d2_t3_100uL_r4,64.19
d1_t4_20uL_r5,70.12
d5_t2_40uL_r1,5037.4
d4_t2_20uL_r2,3797.47
d3_t2_20uL_r1,1845.86
d5_t3_60uL_r4,54.13
d2_t4_100uL_r4,264.67
d2_t2_40uL_r2,337.0
d2_t4_80uL_r2,209.11
d2_t4_100uL_r6,253.18
d3_t2_20uL_r3,2054.12
d5_t4_100uL_r2,1452.97
d2_t3_60uL_r5,88.94
d5_t4_80uL_r1,1457.84
d5_t2_40uL_r3,4209.01
d5_t3_100uL_r2,39.75
d3_t2_40uL_r4,1406.02
d1_t5_60uL_r5,93.3
d2_t5_100uL_r1,497.3
d5_t5_100uL_r5,5295.97
d4_t3_60uL_r2,53.11
d3_t3_60uL_r1,56.02
d5_t2_20uL_r4,5365.29
d1_t2_80uL_r2,101.18
d2_t2_100uL_r1,323.99
d4_t4_80uL_r5,1374.42
d5_t2_100uL_r5,4644.69
d5_t2_100uL_r4,3657.65
d4_t4_80uL_r4,1307.43
d5_t2_20uL_r5,5047.64
d1_t2_80uL_r3,69.13
d1_t4_40uL_r1,62.27
d5_t5_100uL_r4,4252.12
d4_t3_60uL_r3,53.5
d1_t5_60uL_r4,72.19
d3_t2_40uL_r5,1556.53
d5_t3_100uL_r3,53.86
d5_t2_40uL_r2,3364.09
d2_t3_60uL_r4,50.24
d4_t2_20uL_r1,3405.11
d3_t2_20uL_r2,1989.54
d5_t4_100uL_r3,1995.86
d2_t2_40uL_r1,839.75
d2_t4_80uL_r3,55.91
d2_t2_40uL_r5,544.32
d5_t3_60uL_r3,58.35
d2_t4_100uL_r3,243.09
d4_t2_20uL_r5,3717.13
d5_t4_80uL_r4,1683.28
d1_t4_20uL_r2,67.64
d2_t3_100uL_r3,65.08
d3_t2_40uL_r1,1916.62
d3_t4_80uL_r3,652.76
d2_t2_20uL_r2,840.35
d2_t5_100uL_r4,681.08
d1_t4_40uL_r5,74.89
d5_t2_20uL_r1,4646.68
d3_t3_60uL_r4,59.16
d4_t2_40uL_r2,2645.99
d2_t2_100uL_r4,797.2
d2_t2_100uL_r5,706.09
d5_t2_100uL_r1,3927.1
d4_t4_80uL_r1,1206.5
d4_t2_40uL_r3,2982.87
d3_t3_60uL_r5,37.09
d1_t4_40uL_r4,53.79
d2_t5_100uL_r5,674.32
d2_t2_20uL_r3,821.31
d5_t5_100uL_r1,3453.31
d3_t4_80uL_r2,607.7
d1_t5_60uL_r1,78.2
d5_t4_80uL_r5,1973.22
d2_t3_100uL_r2,77.49
d1_t4_20uL_r3,62.41
d4_t2_20uL_r4,3981.25
d2_t3_60uL_r1,52.41
d2_t4_100uL_r2,205.96
d5_t3_60uL_r2,86.33
d5_t4_100uL_r6,1181.18
d2_t2_40uL_r4,535.82
d2_t4_80uL_r4,282.34
d3_t2_20uL_r5,1810.8
d5_t4_100uL_r4,1387.69
d2_t3_60uL_r3,63.92
d5_t3_100uL_r4,52.97
d5_t2_40uL_r5,4214.11
d1_t4_20uL_r1,49.52
d1_t5_60uL_r3,89.47
d3_t2_40uL_r2,1175.19
d5_t5_100uL_r3,5514.21
d4_t3_60uL_r4,69.91
d2_t2_20uL_r1,838.13
d5_t2_20uL_r2,4985.96
d1_t2_80uL_r4,97.31
d4_t4_80uL_r3,1296.82
d5_t2_100uL_r3,4672.94
d4_t2_40uL_r1,3674.23
d5_t2_100uL_r2,4637.2
d4_t4_80uL_r2,1011.69
d5_t2_20uL_r3,5224.91
d1_t2_80uL_r5,73.35
d5_t5_100uL_r2,4308.17
d4_t3_60uL_r5,108.19
d3_t2_40uL_r3,1711.6
