,rep1_fold1,rep1_fold2,rep1_fold3,rep1_fold4,rep1_fold5,rep2_fold1,rep2_fold2,rep2_fold3,rep2_fold4,rep2_fold5,rep3_fold1,rep3_fold2,rep3_fold3,rep3_fold4,rep3_fold5
d1_t2_100uL_r1,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val
d1_t2_100uL_r2,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train
d1_t2_100uL_r3,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train
d1_t2_100uL_r3B,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train
d1_t2_100uL_r4,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train
d1_t2_100uL_r5,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train
d1_t2_20uL_r1,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train
d1_t2_20uL_r2,train,val,train,train,train,train,train,train,val,train,train,train,train,val,train
d1_t2_20uL_r3,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train
d1_t2_20uL_r4,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train
d1_t2_20uL_r5,val,train,train,train,train,val,train,train,train,train,train,train,train,train,val
d1_t2_40uL_r1,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train
d1_t2_40uL_r2,train,train,train,val,train,train,val,train,train,train,train,val,train,train,train
d1_t2_40uL_r3,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train
d1_t2_40uL_r4,train,train,train,val,train,train,val,train,train,train,train,train,train,train,val
d1_t2_40uL_r5,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train
d1_t2_60uL_r1,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train
d1_t2_60uL_r2,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train
d1_t2_60uL_r3,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train
d1_t2_60uL_r4,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train
d1_t2_60uL_r5,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train
d1_t2_80uL_r1,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train
d1_t2_80uL_r2,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val
d1_t2_80uL_r3,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train
d1_t2_80uL_r4,train,val,train,train,train,train,train,train,train,val,train,train,train,train,val
d1_t2_80uL_r5,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train
d1_t3_100uL_r1,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train
d1_t3_100uL_r2,train,train,train,val,train,train,train,train,val,train,val,train,train,train,train
d1_t3_100uL_r3,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val
d1_t3_100uL_r4,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train
d1_t3_100uL_r5,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train
d1_t3_20uL_r1,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train
d1_t3_20uL_r2,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train
d1_t3_20uL_r3,val,train,train,train,train,train,train,val,train,train,train,train,val,train,train
d1_t3_20uL_r4,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train
d1_t3_20uL_r5,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train
d1_t3_40uL_r1,train,train,val,train,train,train,train,train,train,val,train,val,train,train,train
d1_t3_40uL_r2,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val
d1_t3_40uL_r3,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train
d1_t3_40uL_r4,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train
d1_t3_40uL_r5,train,train,train,val,train,train,train,train,val,train,train,train,val,train,train
d1_t3_60uL_r1,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train
d1_t3_60uL_r2,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train
d1_t3_60uL_r3,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train
d1_t3_60uL_r4,train,train,train,val,train,train,val,train,train,train,train,val,train,train,train
d1_t3_60uL_r5,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train
d1_t3_80uL_r1,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val
d1_t3_80uL_r2,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train
d1_t3_80uL_r3,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train
d1_t3_80uL_r3B,train,train,train,train,val,val,train,train,train,train,val,train,train,train,train
d1_t3_80uL_r4,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val
d1_t3_80uL_r5,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train
d1_t4_100uL_r1,train,train,train,train,val,train,train,train,train,val,train,train,val,train,train
d1_t4_100uL_r2,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train
d1_t4_100uL_r3,train,train,train,train,val,train,val,train,train,train,train,train,train,train,val
d1_t4_100uL_r4,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train
d1_t4_100uL_r5,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train
d1_t4_100uL_r6,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train
d1_t4_20uL_r1,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train
d1_t4_20uL_r2,train,train,val,train,train,val,train,train,train,train,val,train,train,train,train
d1_t4_20uL_r3,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train
d1_t4_20uL_r4,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train
d1_t4_20uL_r5,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val
d1_t4_40uL_r1,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train
d1_t4_40uL_r2,train,train,train,val,train,train,train,train,val,train,val,train,train,train,train
d1_t4_40uL_r3,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train
d1_t4_40uL_r4,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train
d1_t4_40uL_r5,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train
