epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.52,0.68485,1.41328,2.06246,0.9923,0,0.99632,0.71003,0.75529,0.67249,0.99632,0.71003,0.75966,0.69465,0.64138,1.13365,1.82083,0.83801,0,0.00045009,0.00045009,0.00045009
2,44.5984,0.65546,0.84359,0.89755,0.93709,0,0.69612,0.66164,0.65201,0.58673,0.69973,0.6571,0.6498,0.5959,0.69302,1.00176,1.82021,0.86963,0,0.000907773,0.000907773,0.000907773
3,61.1338,0.63585,0.80822,0.82177,0.92186,0,0.63961,0.56101,0.61027,0.53457,0.63424,0.55642,0.60768,0.55024,0.78744,1.46329,1.95852,0.9777,0,0.00135621,0.00135621,0.00135621
4,73.7121,0.62825,0.7772,0.76161,0.91345,0,0.67647,0.70842,0.73668,0.63017,0.6703,0.70561,0.73557,0.6667,0.7316,0.94192,1.39253,0.95257,0,0.00161749,0.00161749,0.00161749
5,85.1884,0.60436,0.72929,0.7153,0.90858,0,0.96366,0.96715,0.98205,0.83946,0.96366,0.96715,0.9813,0.82737,0.58899,0.98937,0.61644,0.80307,0,0.00160099,0.00160099,0.00160099
6,97.8415,0.59196,0.71284,0.63877,0.90021,0,0.92542,0.94965,0.96916,0.83494,0.92746,0.94954,0.96994,0.83674,0.56767,0.82263,0.66245,0.82083,0,0.00158448,0.00158448,0.00158448
7,109.559,0.56202,0.70532,0.59178,0.88732,0,0.95082,0.81287,0.94247,0.81832,0.95082,0.81287,0.94237,0.82085,0.56142,0.82827,0.74359,0.81628,0,0.00156798,0.00156798,0.00156798
8,120.946,0.54898,0.69314,0.55896,0.88815,0,0.96031,0.98164,0.98274,0.86091,0.96031,0.98164,0.98274,0.85938,0.5548,0.74786,0.56377,0.81491,0,0.00155148,0.00155148,0.00155148
9,132.284,0.57973,0.70133,0.54866,0.90582,0,0.98263,0.9594,0.98627,0.86104,0.98263,0.9594,0.98435,0.86106,0.53128,0.76772,0.49018,0.80121,0,0.00153497,0.00153497,0.00153497
10,143.646,0.57514,0.72306,0.5383,0.90127,0,0.98123,0.97706,0.99167,0.87817,0.98123,0.97706,0.98962,0.86394,0.52141,0.73827,0.44513,0.79385,0,0.00151847,0.00151847,0.00151847
