Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d1_t2_100uL_r1,66.53,70.76426677650375,4.234266776503745,6.364447281683066,1,1269759.5,0.00126
d1_t2_100uL_r2,63.46,71.57900307547236,8.119003075472357,12.793890758702107,1,1247125.5,0.001283
d1_t2_100uL_r3,77.34,81.4569815573022,4.116981557302196,5.323224149602012,1,1245506.5,0.001285
d1_t2_100uL_r3B,135.95,136.25359271781699,0.30359271781699704,0.22331203958587503,1,1274453.0,0.001255
d1_t2_100uL_r4,84.49,87.99360318345798,3.503603183457983,4.146766698376119,1,1257500.5,0.001272
d1_t2_100uL_r5,70.06,72.9473459023264,2.887345902326402,4.121247362726808,1,1257433.0,0.001272
d1_t2_20uL_r1,177.1,89.84085555080536,87.25914444919464,49.271114878144914,1,1246729.0,0.001283
d1_t2_20uL_r2,101.89,106.18804306202463,4.298043062024632,4.218316873122615,1,1248246.0,0.001282
d1_t2_20uL_r3,112.41,124.02558180136177,11.61558180136177,10.333228183757468,1,1245807.5,0.001284
d1_t2_20uL_r4,113.82,99.57831238733309,14.241687612666908,12.512464955778341,1,1252586.0,0.001277
d1_t2_20uL_r5,105.24,110.14891677297497,4.908916772974976,4.66449712369344,1,1252646.0,0.001277
d1_t2_40uL_r1,104.27,99.82675645034666,4.443243549653332,4.261286611348741,1,1247665.5,0.001282
d1_t2_40uL_r2,78.92,78.71355940518436,0.20644059481564625,0.26158210189514225,1,1253598.5,0.001276
d1_t2_40uL_r3,152.11,148.13088553620094,3.9791144637990783,2.6159453446841616,1,1257266.5,0.001273
d1_t2_40uL_r4,84.79,93.60500454984113,8.81500454984112,10.396278511429555,1,1270923.5,0.001259
d1_t2_40uL_r5,87.8,86.63153279208176,1.1684672079182405,1.3308282550321646,1,1253206.5,0.001277
d1_t2_60uL_r1,161.48,175.27275629514347,13.792756295143477,8.541464141158952,1,1252950.0,0.001277
d1_t2_60uL_r2,169.72,172.5714505445911,2.8514505445911027,1.6800910585618094,1,1248276.0,0.001282
d1_t2_60uL_r3,76.68,87.8751007139444,11.195100713944399,14.599766189285859,1,1250447.5,0.00128
d1_t2_60uL_r4,119.48,125.38627797867886,5.906277978678858,4.943319366152375,1,1244117.0,0.001286
d1_t2_60uL_r5,83.84,94.73294746897271,10.892947468972707,12.992542305549506,1,1247329.5,0.001283
d1_t2_80uL_r1,75.43,80.28577702120425,4.855777021204247,6.437461250436492,1,1270641.0,0.001259
d1_t2_80uL_r2,101.18,89.09750453436737,12.082495465632633,11.9415847654009,1,1279120.0,0.001251
d1_t2_80uL_r3,69.13,73.54693849102357,4.416938491023572,6.389322278350315,1,1269741.5,0.00126
d1_t2_80uL_r4,97.31,69.2152750973893,28.094724902610707,28.871364610636835,1,1256555.0,0.001273
d1_t2_80uL_r5,73.35,81.24788160199479,7.897881601994797,10.767391413762507,1,1265697.0,0.001264
d1_t3_100uL_r1,66.55,61.01135754570915,5.538642454290844,8.322528105621103,1,1274307.0,0.001256
d1_t3_100uL_r2,78.02,87.3890438726969,9.369043872696906,12.008515602021157,1,1255507.5,0.001274
d1_t3_100uL_r3,61.11,74.38712876121353,13.277128761213532,21.726605729362678,1,1259583.5,0.00127
d1_t3_100uL_r4,65.6,66.77249540397924,1.1724954039792408,1.7873405548464036,1,1275016.0,0.001255
d1_t3_100uL_r5,54.49,63.84834002319862,9.358340023198615,17.17441736685376,1,1254385.0,0.001276
d1_t3_20uL_r1,68.76,78.1991933594777,9.439193359477699,13.727739033562678,1,1255082.0,0.001275
d1_t3_20uL_r2,71.44,76.82654916331087,5.386549163310875,7.539962434645682,1,1301977.0,0.001229
